,id,user,lat,long,tags,title,date_upload,date_taken,date_taken_bin,date_upload_bin,uploaded_via,foursquare_venue,links,file_title,people_tag
2167,21719400324,24923464@N06,45.975325,4.662322,"zeiss,couteau,lumia,菜刀,刀子,lumia640xl,640xl,",在學校時趁半價簡單升級一下裝備,2015-10-21 00:08:00+00:00,2015-09-07 16:08:00+00:00,afternoon,,,,,,
2168,22347876981,77161041@N00,45.76748,4.833487,"square,sierra,squareformat,iphoneography,instagramapp,lyon,france,city,streetphotography",#lyon #france #city #streetphotography,2015-10-20 20:04:00+00:00,2015-10-20 20:04:00+00:00,evening,evening,instagram,,,,
2169,22336056435,16085286@N05,45.641884,4.724078,"usa,car,us,super,made,american,vehicle,amateur,voitures,anciennes,kenko,américaine,canonef2470f28lusm,canoneos1dmkiii,taluyers,201510,gonepic,",Voitures Anciennes Taluyers 2015-10,2015-10-20 19:07:00+00:00,2015-10-18 11:07:00+00:00,morning,evening,,,,,
2170,22148007900,16085286@N05,45.641884,4.724078,"usa,car,us,super,made,american,vehicle,dodge,viper,amateur,voitures,anciennes,kenko,américaine,canonef2470f28lusm,canoneos1dmkiii,taluyers,201510,gonepic,",Voitures Anciennes Taluyers 2015-10,2015-10-20 19:07:00+00:00,2015-10-18 11:07:00+00:00,morning,evening,,,,,
2171,22141575159,13453036@N02,45.77547,4.856493,"flower,fleur,lyon,victoria,serre,nymphea,parcdelatêtedor,serrevictoria,",Victoria Cruziana (1),2015-10-20 13:29:00+00:00,2014-05-01 14:29:00+00:00,afternoon,midday,,,,,
2172,22141474569,13453036@N02,45.775365,4.856278,"lyon,drosera,serre,parcdelatêtedor,plantescarnivores,droseraregia,",Drosera Regia,2015-10-20 13:29:00+00:00,2014-05-01 14:29:00+00:00,afternoon,midday,,,,,
2173,22140195600,13453036@N02,45.775365,4.856278,"lyon,nepenthes,drosera,serre,parcdelatêtedor,plantescarnivores,sarraceniacées,",La serre aux plantes carnivores,2015-10-20 13:29:00+00:00,2014-05-01 14:29:00+00:00,afternoon,midday,,,,,
2174,21707053103,13453036@N02,45.775365,4.856278,"lyon,nepenthes,serre,parcdelatêtedor,plantescarnivores,nepenthescopelandii,",Nepenthes Copelandii,2015-10-20 13:29:00+00:00,2014-05-01 14:29:00+00:00,afternoon,midday,,,,,
2175,22302038526,13453036@N02,45.775365,4.856278,"lyon,serre,sarraceniaoreophila,parcdelatêtedor,plantescarnivores,sarraceniacées,",Sarracenia Oreophila,2015-10-20 13:29:00+00:00,2014-05-01 14:29:00+00:00,afternoon,midday,,,,,
2176,21705267384,13453036@N02,45.775365,4.856278,"lyon,serre,sarraceniaoreophila,parcdelatêtedor,plantescarnivores,sarraceniacées,",Sarraceniacées (1),2015-10-20 13:29:00+00:00,2014-05-01 14:29:00+00:00,afternoon,midday,,,,,
2177,22140899759,13453036@N02,45.77547,4.856493,"flower,fleur,lyon,victoria,serre,nymphea,parcdelatêtedor,serrevictoria,",Victoria Cruziana (2),2015-10-20 13:29:00+00:00,2014-05-01 14:29:00+00:00,afternoon,midday,,,,,
2178,22140819419,13453036@N02,45.77547,4.856493,"flower,fleur,lyon,victoria,serre,nymphea,parcdelatêtedor,serrevictoria,",Victoria Cruziana (3),2015-10-20 13:29:00+00:00,2014-05-01 14:29:00+00:00,afternoon,midday,,,,,
2179,22140747019,13453036@N02,45.77547,4.856493,"flower,fleur,lyon,victoria,serre,nymphea,parcdelatêtedor,serrevictoria,",Victoria Cruziana (4),2015-10-20 13:29:00+00:00,2014-05-01 14:29:00+00:00,afternoon,midday,,,,,
2180,22139788628,13453036@N02,45.77547,4.856493,"flower,fleur,lyon,victoria,serre,nymphea,parcdelatêtedor,serrevictoria,",Victoria Cruziana (5),2015-10-20 13:29:00+00:00,2014-05-01 14:29:00+00:00,afternoon,midday,,,,,
2181,22311918742,77161041@N00,45.768121,4.801776,"square,sierra,squareformat,iphoneography,instagramapp,coffee,fuel,geek",First blood #coffee #fuel for #geek,2015-10-20 09:18:00+00:00,2015-10-20 09:18:00+00:00,morning,morning,instagram,4e0462c82271233b767cec75,,,
2182,21693095933,24923464@N06,45.7158,4.871041,"france,lumia,lumia640xl,640xl,",WP_20151015_06_23_42_Pro (2),2015-10-19 23:32:00+00:00,2015-10-15 06:32:00+00:00,early morning,night,,,,WP_20151015_06_23_42_Pro,
2183,22118043538,55669117@N03,45.757686,4.898788,"nan,",IMG_5042,2015-10-19 17:02:00+00:00,2014-12-13 09:02:00+00:00,morning,afternoon,,,,IMG_5042,
2184,22316308621,55669117@N03,45.757697,4.898897,"nan,",IMG_5043,2015-10-19 17:02:00+00:00,2014-12-13 09:02:00+00:00,morning,afternoon,,,,IMG_5043,
2185,21682972904,55669117@N03,45.757686,4.898969,"nan,",IMG_5044,2015-10-19 17:02:00+00:00,2014-12-13 09:02:00+00:00,morning,afternoon,,,,IMG_5044,
2186,22316262071,55669117@N03,45.757686,4.898969,"nan,",IMG_5045,2015-10-19 17:02:00+00:00,2014-12-13 09:02:00+00:00,morning,afternoon,,,,IMG_5045,
2187,21684624673,55669117@N03,45.757686,4.898786,"nan,",IMG_5046,2015-10-19 17:02:00+00:00,2014-12-13 09:02:00+00:00,morning,afternoon,,,,IMG_5046,
2188,22316203381,55669117@N03,45.757686,4.898769,"nan,",IMG_5047,2015-10-19 17:02:00+00:00,2014-12-13 09:02:00+00:00,morning,afternoon,,,,IMG_5047,
2189,22292690902,55669117@N03,45.757675,4.898786,"nan,",IMG_5048,2015-10-19 17:02:00+00:00,2014-12-13 09:02:00+00:00,morning,afternoon,,,,IMG_5048,
2190,22117858858,55669117@N03,45.757677,4.898783,"nan,",IMG_5049,2015-10-19 17:02:00+00:00,2014-12-13 09:02:00+00:00,morning,afternoon,,,,IMG_5049,
2191,22118681789,55669117@N03,45.757705,4.898766,"nan,",IMG_5050,2015-10-19 17:02:00+00:00,2014-12-13 09:02:00+00:00,morning,afternoon,,,,IMG_5050,
